ZIP,count,Total,percent_male,MedianAge,percentCollegeDegree,MedianIncome,percent_own
71998,,372,0.811827957,21.1,0,8281,0
73145,,2517,0.639650377,22.5,3,33832,0
74103,,1911,0.842490842,30,5.7,12845,0
75247,,546,0.778388278,56.5,,10265,0
75562,,77,0.506493506,86,,,0
75573,,31,0.548387097,44.8,0,,0
76127,,1964,0.136965377,38,0,7211,0
76311,,5925,0.77350211,20.7,8.6,37055,0
76452,,76,0.552631579,17.5,0,20417,0
76841,,28,0.714285714,43.6,,,0
77973,,78,0.666666667,25.6,,,0
78564,,19,0.473684211,,,,0
78635,,19,0,,,,0
79051,,30,0.433333333,,,,0
79111,,1496,0.564839572,32.3,0,31302,0
79258,,45,0.755555556,12.3,,,0
79406,,7154,0.534665921,19.2,0.5,,0
79834,,153,0.509803922,42.4,,41103,0
79906,,4416,0.51879529,20.9,5,38507,0
79916,,2968,0.815700809,23.1,1.7,27372,0
80045,,559,0.411449016,26.7,81.2,21771,0
80310,,6381,0.53659301,18.9,0.3,30341,0
80488,,44,0.386363636,55.3,0,,0
80840,,6362,0.732788431,20.8,0.3,44271,0
80913,,3144,0.835877863,22.3,0.4,28191,0
81232,,44,0.727272727,13.8,0,,0
81330,,8,0,,,,0
81655,,102,0.568627451,11.7,,,0
82051,,7,1,,,,0
82190,,781,0.631241997,48.4,54.6,38934,0
83011,,153,0.509803922,23.3,0,,0
83012,,99,0.414141414,38.6,,16860,0
83121,,5,1,,,,0
83209,,835,0.526946108,20.2,5.8,16083,0
83648,,3273,0.582951421,21.3,2.6,29107,0
84728,,264,0.409090909,33.9,,20221,0
85341,,29,0.517241379,,,,0
85540,,3215,0.529393468,28.2,3.2,42813,0
85707,,545,0.831192661,21.4,1.3,45964,0
86011,,6512,0.4120086,19.4,1.8,10000,0
86052,,22,0.636363636,54.5,,28438,0
87116,,4269,0.596626845,23.6,8.9,41548,0
88002,,1567,0.552648373,22.3,2.3,36222,0
88009,,196,0.367346939,22.2,0,17708,0
88055,,13,1,,,,0
88330,,3599,0.547929981,22.3,3.4,34861,0
89405,,206,0.694174757,22.6,0,50060,0
91046,,176,0.164772727,76.5,,,0
91980,,195,0.435897436,61.7,0,20909,0
92140,,2514,0.947891806,20.1,2.4,26705,0
92278,,4441,0.927718982,21.9,0,30402,0
93220,,255,0.654901961,19.4,0,,0
93437,,3693,0.544002166,23.2,2.4,43889,0
93627,,51,0.588235294,18.5,0,,0
93928,,308,0.574675325,22.8,0,58750,0
94130,,2654,0.557648832,27,7.2,25068,0
94613,,861,0.176538908,19.7,6.4,18750,0
94964,,4827,0.96457427,41.4,0,12194,0
95013,,22,0.5,,,,0
95226,,284,0.580985915,14.2,,,0
95646,,66,0.333333333,20.5,0,14167,0
95652,,836,0.574162679,24.4,52.6,23508,0
95680,,245,0.542857143,15.6,0,,0
95736,,278,0.510791367,21.5,16.3,32313,0
