UANUM,UANAME,4 Week Rate,Latitude,Longitude,PredictedStationCount,DiffPredictActual,PredictedPeoplePerStation,Population,PredictedStationsPerHousehold
78553,"San Angelo, TX",3376.9230769231,31.463611100000005,-100.4366667,1.92,-0.08,-0.026666667,92984,5.377398123512113e-05
78580,"San Antonio, TX",50783.3333333333,29.423888899999998,-98.4933333,80.76,8.76,0.12,1758210,0.0001294415389374446
78607,"San Carlos, AZ",23490.7619047619,33.3452778,-110.4525,0.08,0.08,0.08,3993,9.280742459396752e-05
78661,"San Diego, CA",62375.0,32.7152778,-117.1563889,242.92,7.92,0.033559322,2956746,0.00023506188130787765
78688,"San Diego, TX",10394.4285714286,27.763611100000002,-98.23861109999999,0.2,0.2,0.2,4757,0.00010718113612004288
78904,"San Francisco--Oakland, CA",114990.576923077,37.804444399999994,-122.2697222,369.12,-50.88,-0.12085510699999999,3281212,0.00029579245806161063
78985,"San Germ�n--Cabo Rojo--Sabana Grande, PR",5600.0,18.0797222,-66.9608333,0.02,0.02,0.02,118199,5.31660375352225e-07
79012,"San Joaquin, CA",8432.0,36.6066667,-120.18805559999998,0.02,0.02,0.02,3983,2.2172949002217295e-05
79039,"San Jose, CA",114990.576923077,37.3394444,-121.8938889,233.44,1.44,0.006180258,1664496,0.00040811046115223374
79093,"San Juan, PR",4200.0,18.4683333,-66.1061111,15.02,15.02,15.02,2148346,2.0861255980944313e-05
79147,"San Luis Obispo, CA",6351.75,35.2827778,-120.6586111,8.76,-3.24,-0.249230769,59219,0.00047122108660570196
79120,"San Luis, AZ",6559.375,32.4869444,-114.7813889,0.66,0.66,0.66,24091,8.708272859216256e-05
79174,"San Manuel, AZ",23490.7619047619,32.5997222,-110.63027779999999,0.1,0.1,0.1,3185,7.530120481927712e-05
79201,"San Marcos, TX",58266.6666666667,29.883055600000006,-97.94111109999999,2.8,0.8,0.26666666699999997,52826,0.00014504014504014502
79255,"San Saba, TX",2400.0,31.195555600000006,-98.7177778,0.0,0.0,0.0,3105,0.0
78634,"Sandersville, GA",1125.0,32.9813889,-82.8102778,0.18,0.18,0.18,7288,6.749156355455568e-05
78715,"Sandpoint, ID",12850.384615384599,48.2766667,-116.5522222,0.1,0.1,0.1,10840,2.0255215718047397e-05
78742,"Sandusky, MI",5833.333333333299,43.4202778,-82.8297222,0.02,0.02,0.02,2775,1.7889087656529517e-05
78769,"Sandusky, OH",2373.0,41.4488889,-82.7080556,0.6,0.6,0.6,48990,2.897011250060354e-05
78823,"Sandy, OR",43103.1818181818,45.3975,-122.2602778,2.02,-0.98,-0.245,9954,0.0005245390807582446
78850,"Sanford, ME",2300.0,43.4391667,-70.77472220000001,0.78,-0.22,-0.11,13584,0.00013610190193683475
78877,"Sanford, NC",1200.0,35.4797222,-79.1805556,1.12,-2.88,-0.5760000000000001,33120,9.242449249051e-05
78931,"Sanger, CA",32460.75,36.7080556,-119.555,0.1,0.1,0.1,26604,1.3989927252378288e-05
78958,"Sanger, TX",3150.0,33.3630556,-97.17361109999999,0.0,0.0,0.0,5972,0.0
79282,"Santa Barbara, CA",38568.6923076923,34.4208333,-119.69722220000001,24.22,-7.78,-0.23575757600000002,195861,0.00034440099537859934
79309,"Santa Clarita, CA",261570.416666667,34.3916667,-118.54166670000001,9.36,2.36,0.295,258653,0.00011310631510259323
79336,"Santa Cruz, CA",114990.576923077,36.974166700000005,-122.02972220000001,22.54,-0.46,-0.019166667,163703,0.0003579709684591684
79363,"Santa Fe, NM",26946.8125,35.686944399999994,-105.93722220000001,7.68,-2.32,-0.21090909100000002,89284,0.00019921662213690953
79390,"Santa Isabel, PR",3000.0,17.9680556,-66.4052778,0.06,0.06,0.06,10550,1.7371163867979153e-05
79417,"Santa Maria, CA",6351.75,34.953055600000006,-120.43472220000001,8.12,-0.88,-0.08800000000000001,130447,0.0002095537949366435
79444,"Santa Paula, CA",261570.416666667,34.3541667,-119.05833329999999,1.08,1.08,1.08,29742,0.00012929486412067523
79537,"Santa Rosa Beach, FL",7695.818181818199,30.3958333,-86.22888890000002,0.04,0.04,0.04,4512,2.1041557075223567e-05
79498,"Santa Rosa, CA",3712.3333333333003,38.4405556,-122.71333329999999,29.42,-12.58,-0.29255814,308231,0.0002563789737869493
79525,"Santa Rosa, NM",1700.0,34.9386111,-104.6819444,0.0,0.0,0.0,2621,0.0
79471,"Santaquin, UT",8966.6666666667,39.97555560000001,-111.78444440000001,0.18,0.18,0.18,9936,6.995724834823164e-05
79552,"Santo Domingo Pueblo, NM",26946.8125,35.5147222,-106.36527779999999,0.04,0.04,0.04,2567,8.928571428571429e-05
79579,"Saranac Lake, NY",2478.5714285714002,44.32944439999999,-74.1316667,0.1,0.1,0.1,7698,3.227888960619755e-05
79606,"Sarasota--Bradenton, FL",48246.5454545455,27.498611100000005,-82.575,37.18,-8.82,-0.187659574,643260,0.00013163578170694574
79633,"Saratoga Springs, NY",3830.0,41.0161111,-72.1597222,7.24,-0.76,-0.08444444400000001,64100,0.0002729912145092568
79687,"Sauk Centre, MN",1459.0,45.7375,-94.95222220000001,0.0,0.0,0.0,4253,0.0
79714,"Sault Ste. Marie, MI",3185.0,46.4953,-84.34531700000001,0.16,0.16,0.16,13114,3.0058237835806875e-05
79741,"Savanna, IL--IA",1473.125,42.09444439999999,-90.1566667,0.0,0.0,0.0,3362,0.0
79768,"Savannah, GA",12150.0,32.0833333,-81.1,12.1,-1.9,-0.12666666699999998,260677,0.00012099758004839902
79795,"Savannah, MO",5816.666666666701,39.9416667,-94.83,0.16,0.16,0.16,5138,7.808687164470474e-05
79822,"Savannah, TN",2380.0,35.2247222,-88.2491667,1.54,-0.46,-0.15333333300000002,8347,0.000480949406620862
79834,"Saw Creek, PA",3360.0,41.1125,-75.05111109999999,0.3,0.3,0.3,5880,0.00014873574615765987
79903,"Sayre--Waverly, PA--NY",5100.0,42.008408,-76.54254300000001,0.44,0.44,0.44,17991,5.797101449275362e-05
79876,"Sayre, OK",600.0,35.2911111,-99.63972220000001,0.12,0.12,0.12,4041,9.523809523809524e-05
79930,"Schulenburg, TX",1328.5714285714,29.6816667,-96.9027778,0.0,0.0,0.0,2726,0.0
79957,"Schuyler, NE",807.25,41.4472222,-97.0591667,0.0,0.0,0.0,6255,0.0
80011,"Scott City, KS",1064.6666666667,38.4825,-100.9066667,0.08,0.08,0.08,3647,4.9906425452276985e-05
80038,"Scott City, MO",3990.0,37.2185,-89.5206,0.1,0.1,0.1,5216,5.11770726714432e-05
80065,"Scottsbluff, NE",1150.0,41.8666667,-103.66666670000001,0.54,0.54,0.54,25946,5.279108417245088e-05
80092,"Scottsboro, AL",1600.0,34.6722222,-86.0341667,0.08,0.08,0.08,10069,2.0045101478326236e-05
80119,"Scottsburg, IN",1470.0,38.6855556,-85.77027779999999,0.12,0.12,0.12,11434,2.7913468248429866e-05
80173,"Scottsville, KY",750.0,36.7533333,-86.1905556,0.0,0.0,0.0,4251,0.0
80227,"Scranton, PA",39262.5,41.408888899999994,-75.66277779999999,12.8,7.8,1.3,381502,8.187964970862359e-05
80281,"Sealy, TX",1328.5714285714,29.780555600000003,-96.1569444,0.06,0.06,0.06,5562,2.994011976047904e-05
80308,"Searcy, AR",1350.0,35.250555600000006,-91.73611109999999,1.42,1.42,1.42,25979,0.00014224181107883401
80362,"Seaside--Monterey, CA",114990.576923077,36.6002778,-121.8936111,19.2,-0.8,-0.038095238,114237,0.00041994750656167975
80335,"Seaside, OR",43103.1818181818,45.993333299999996,-123.9213889,0.64,0.64,0.64,8489,0.0001757276221856123
80389,"Seattle, WA",151865.05,47.6063889,-122.33083329999998,248.16,-112.84,-0.311712707,3059393,0.0002014967728524996
80400,"Sebastian--Vero Beach South--Florida Ridge, FL",17160.25,27.58,-80.3869444,6.48,3.48,0.87,149422,9.956976029502152e-05
80416,"Sebring--Avon Park, FL",4224.0833333333,27.595555600000004,-81.5063889,3.3,-0.7,-0.14,61625,0.00013089524413946292
80443,"Sedalia, MO",1437.5,38.70444439999999,-93.2280556,0.32,0.32,0.32,26178,2.9828486204325132e-05
80470,"Sedona, AZ",123595.375,34.8697222,-111.7602778,2.36,2.36,2.36,6761,0.0007057416267942584
80497,"Seguin, TX",50783.3333333333,29.568611100000002,-97.9644444,0.32,0.32,0.32,24122,3.8195273334924806e-05
80524,"Selma, AL",2568.0,32.4072222,-87.02111109999998,1.0,0.0,0.0,23821,0.0001154068090017311
80551,"Selma, CA",32460.75,36.5708333,-119.6111111,0.68,0.68,0.68,41810,5.4062649069804426e-05
80578,"Selmer, TN",2380.0,35.17,-88.59222220000001,0.12,0.12,0.12,3840,7.556675062972292e-05
80605,"Seminole, OK",1460.0,35.224444399999996,-96.6702778,0.0,0.0,0.0,5931,0.0
80632,"Seminole, TX",2800.0,32.718888899999996,-102.6444444,0.02,0.02,0.02,6477,8.984725965858042e-06
80659,"Senatobia, MS",4020.0,34.6175,-89.96861109999999,0.2,0.2,0.2,6531,9.191176470588235e-05
80671,"Seneca, SC",1800.0,34.6855556,-82.9533333,1.16,0.16,0.08,26054,0.00011173184357541898
80686,"Sequim, WA",3850.0,48.0797222,-123.10055559999999,3.62,-1.38,-0.23,19286,0.00040401785714285713
80695,"Seven Lakes, NC",1350.0,35.2783333,-79.5647222,0.26,0.26,0.26,3757,0.00016624040920716114
80704,"Severance, CO",4550.0,40.5241667,-104.85055559999999,0.04,0.04,0.04,2670,4.352557127312296e-05
80713,"Sevierville, TN",2216.6666666667,35.868055600000005,-83.5619444,1.7,-8.3,-0.754545455,22108,0.0001785901880449627
80740,"Seville, OH",3391.5,41.01,-81.8625,0.4,-1.6,-0.533333333,7396,0.0001264622194119507
80767,"Seward, NE",807.25,40.90694439999999,-97.09861109999999,3.6,-1.4,-0.233333333,6636,0.0015126050420168067
80848,"Seymour (Outagamie County), WI",4956.25,44.514988,-88.33038,0.66,-0.34,-0.17,3500,0.00044029352901934625
80794,"Seymour, IN",1470.0,38.959166700000004,-85.89027779999999,0.22,0.22,0.22,20695,2.630949533604401e-05
80875,"Shady Cove, OR",1353.3333333333,45.2966667,-117.80694440000002,0.02,0.02,0.02,3379,1.335113484646195e-05
80902,"Shady Side--Deale, MD",3500.0,38.77638889999999,-76.5555556,0.24,0.24,0.24,10784,5.5529847292919945e-05
80929,"Shafter, CA",38568.6923076923,35.500555600000006,-119.27083329999999,0.22,0.22,0.22,18098,4.573804573804574e-05
80956,"Shallowater, TX",8853.0,33.688888899999995,-101.9977778,0.22,0.22,0.22,3229,0.00019400352733686067
80985,"Shamokin--Mount Carmel, PA",2904.0,40.796944399999994,-76.4122222,0.16,0.16,0.16,30185,1.2634238787113077e-05
81002,"Shannondale, WV",4200.0,39.216944399999996,-77.8077778,0.08,0.08,0.08,2577,8.733624454148472e-05
81064,"Shawano, WI",1305.0,44.7822222,-88.60888890000001,0.16,0.16,0.16,10527,3.559510567296997e-05
81091,"Shawnee, OK",1460.0,35.3272222,-96.925,0.06,0.06,0.06,34255,4.542701393095094e-06
81118,"Sheboygan, WI",3607.0,43.7508333,-87.7144444,3.98,-1.02,-0.17,71313,0.0001348878194265573
81172,"Shelby, MT",1820.0,48.5052778,-111.8561111,0.02,0.02,0.02,3037,1.8416206261510128e-05
81199,"Shelby, NC",1053.8461538462,35.2922222,-81.5358333,0.82,-0.18,-0.09,27374,7.397383852052323e-05
81226,"Shelby, OH",2373.0,40.8813889,-82.6619444,0.0,0.0,0.0,9305,0.0
81253,"Shelbyville, IL",1550.0,39.406388899999996,-88.79,0.28,0.28,0.28,4974,0.00011759764804703907
81280,"Shelbyville, IN",1434.2857142857001,39.5213889,-85.7769444,0.88,0.88,0.88,20795,0.00010555355643516853
81307,"Shelbyville, KY",2762.5,38.21194439999999,-85.22361109999999,1.68,1.68,1.68,20621,0.00021450459652706843
81334,"Shelbyville, TN",3425.0,35.4833333,-86.4602778,2.04,-0.96,-0.24,20005,0.0003039785426911042
81361,"Sheldon, IA",1003.75,43.1811111,-95.8558333,0.3,0.3,0.3,4887,0.00012615643397813288
81388,"Shelley, ID",2196.0,43.3813889,-112.1225,0.0,0.0,0.0,4701,0.0
