UA,UANAME,ZCTA5
99999,Not in a 2010 urban area,67340
18478,"Coffeyville, KS--OK Urban Cluster",67337
99999,Not in a 2010 urban area,67337
99999,Not in a 2010 urban area,67336
99999,Not in a 2010 urban area,67335
99999,Not in a 2010 urban area,67334
99999,Not in a 2010 urban area,67333
99999,Not in a 2010 urban area,67332
99999,Not in a 2010 urban area,67330
41158,"Independence, KS Urban Cluster",67301
99999,Not in a 2010 urban area,67301
95077,"Wichita, KS Urbanized Area",67260
95077,"Wichita, KS Urbanized Area",67235
99999,Not in a 2010 urban area,67235
99999,Not in a 2010 urban area,67232
95077,"Wichita, KS Urbanized Area",67230
99999,Not in a 2010 urban area,67230
95077,"Wichita, KS Urbanized Area",67228
99999,Not in a 2010 urban area,67228
99999,Not in a 2010 urban area,67227
95077,"Wichita, KS Urbanized Area",67226
99999,Not in a 2010 urban area,67226
95077,"Wichita, KS Urbanized Area",67223
99999,Not in a 2010 urban area,67223
95077,"Wichita, KS Urbanized Area",67220
99999,Not in a 2010 urban area,67220
95077,"Wichita, KS Urbanized Area",67219
99999,Not in a 2010 urban area,67219
95077,"Wichita, KS Urbanized Area",67218
95077,"Wichita, KS Urbanized Area",67217
99999,Not in a 2010 urban area,67217
95077,"Wichita, KS Urbanized Area",67216
99999,Not in a 2010 urban area,67216
95077,"Wichita, KS Urbanized Area",67215
99999,Not in a 2010 urban area,67215
95077,"Wichita, KS Urbanized Area",67214
95077,"Wichita, KS Urbanized Area",67213
95077,"Wichita, KS Urbanized Area",67212
95077,"Wichita, KS Urbanized Area",67211
95077,"Wichita, KS Urbanized Area",67210
99999,Not in a 2010 urban area,67210
95077,"Wichita, KS Urbanized Area",67209
99999,Not in a 2010 urban area,67209
95077,"Wichita, KS Urbanized Area",67208
95077,"Wichita, KS Urbanized Area",67207
99999,Not in a 2010 urban area,67207
95077,"Wichita, KS Urbanized Area",67206
95077,"Wichita, KS Urbanized Area",67205
99999,Not in a 2010 urban area,67205
95077,"Wichita, KS Urbanized Area",67204
99999,Not in a 2010 urban area,67204
95077,"Wichita, KS Urbanized Area",67203
95077,"Wichita, KS Urbanized Area",67202
99999,Not in a 2010 urban area,67159
96319,"Winfield, KS Urban Cluster",67156
99999,Not in a 2010 urban area,67156
99999,Not in a 2010 urban area,67155
99999,Not in a 2010 urban area,67154
93700,"Wellington, KS Urban Cluster",67152
99999,Not in a 2010 urban area,67152
99999,Not in a 2010 urban area,67151
99999,Not in a 2010 urban area,67150
99999,Not in a 2010 urban area,67149
95077,"Wichita, KS Urbanized Area",67147
99999,Not in a 2010 urban area,67147
99999,Not in a 2010 urban area,67146
99999,Not in a 2010 urban area,67144
99999,Not in a 2010 urban area,67143
99999,Not in a 2010 urban area,67142
99999,Not in a 2010 urban area,67140
99999,Not in a 2010 urban area,67138
99999,Not in a 2010 urban area,67137
99999,Not in a 2010 urban area,67135
99999,Not in a 2010 urban area,67134
76366,"Rose Hill, KS Urban Cluster",67133
99999,Not in a 2010 urban area,67133
99999,Not in a 2010 urban area,67132
99999,Not in a 2010 urban area,67131
99999,Not in a 2010 urban area,67127
71965,"Pratt, KS Urban Cluster",67124
99999,Not in a 2010 urban area,67124
99999,Not in a 2010 urban area,67123
99999,Not in a 2010 urban area,67122
99999,Not in a 2010 urban area,67120
99999,Not in a 2010 urban area,67119
99999,Not in a 2010 urban area,67118
63109,"Newton, KS Urban Cluster",67117
99999,Not in a 2010 urban area,67117
63109,"Newton, KS Urban Cluster",67114
99999,Not in a 2010 urban area,67114
99999,Not in a 2010 urban area,67112
99999,Not in a 2010 urban area,67111
95077,"Wichita, KS Urbanized Area",67110
99999,Not in a 2010 urban area,67110
99999,Not in a 2010 urban area,67109
99999,Not in a 2010 urban area,67108
99999,Not in a 2010 urban area,67107
99999,Not in a 2010 urban area,67106
99999,Not in a 2010 urban area,67105
99999,Not in a 2010 urban area,67104
99999,Not in a 2010 urban area,67103
95077,"Wichita, KS Urbanized Area",67101
99999,Not in a 2010 urban area,67101
99999,Not in a 2010 urban area,67074
99999,Not in a 2010 urban area,67073
99999,Not in a 2010 urban area,67072
99999,Not in a 2010 urban area,67071
99999,Not in a 2010 urban area,67070
45154,"Kingman, KS Urban Cluster",67068
99999,Not in a 2010 urban area,67068
95077,"Wichita, KS Urbanized Area",67067
99999,Not in a 2010 urban area,67067
99999,Not in a 2010 urban area,67066
99999,Not in a 2010 urban area,67065
38890,"Hillsboro, KS Urban Cluster",67063
99999,Not in a 2010 urban area,67063
38566,"Hesston, KS Urban Cluster",67062
99999,Not in a 2010 urban area,67062
99999,Not in a 2010 urban area,67061
95077,"Wichita, KS Urbanized Area",67060
99999,Not in a 2010 urban area,67060
99999,Not in a 2010 urban area,67059
99999,Not in a 2010 urban area,67058
99999,Not in a 2010 urban area,67057
99999,Not in a 2010 urban area,67056
99999,Not in a 2010 urban area,67055
99999,Not in a 2010 urban area,67054
99999,Not in a 2010 urban area,67053
95077,"Wichita, KS Urbanized Area",67052
99999,Not in a 2010 urban area,67052
99999,Not in a 2010 urban area,67051
99999,Not in a 2010 urban area,67050
99999,Not in a 2010 urban area,67049
99999,Not in a 2010 urban area,67047
28252,"Eureka, KS Urban Cluster",67045
99999,Not in a 2010 urban area,67045
26524,"El Dorado, KS Urban Cluster",67042
99999,Not in a 2010 urban area,67042
99999,Not in a 2010 urban area,67041
99999,Not in a 2010 urban area,67039
99999,Not in a 2010 urban area,67038
95077,"Wichita, KS Urbanized Area",67037
99999,Not in a 2010 urban area,67037
99999,Not in a 2010 urban area,67036
99999,Not in a 2010 urban area,67035
99999,Not in a 2010 urban area,67031
99999,Not in a 2010 urban area,67030
99999,Not in a 2010 urban area,67029
99999,Not in a 2010 urban area,67028
99999,Not in a 2010 urban area,67026
99999,Not in a 2010 urban area,67025
99999,Not in a 2010 urban area,67024
99999,Not in a 2010 urban area,67023
99999,Not in a 2010 urban area,67022
99999,Not in a 2010 urban area,67021
99999,Not in a 2010 urban area,67020
99999,Not in a 2010 urban area,67019
99999,Not in a 2010 urban area,67018
99999,Not in a 2010 urban area,67017
99999,Not in a 2010 urban area,67016
99999,Not in a 2010 urban area,67013
99999,Not in a 2010 urban area,67012
4168,"Augusta, KS Urban Cluster",67010
99999,Not in a 2010 urban area,67010
99999,Not in a 2010 urban area,67009
99999,Not in a 2010 urban area,67008
3142,"Arkansas City, KS Urban Cluster",67005
99999,Not in a 2010 urban area,67005
99999,Not in a 2010 urban area,67004
99999,Not in a 2010 urban area,67003
95077,"Wichita, KS Urbanized Area",67002
99999,Not in a 2010 urban area,67002
99999,Not in a 2010 urban area,67001
99999,Not in a 2010 urban area,66970
99999,Not in a 2010 urban area,66968
99999,Not in a 2010 urban area,66967
99999,Not in a 2010 urban area,66966
99999,Not in a 2010 urban area,66964
99999,Not in a 2010 urban area,66963
99999,Not in a 2010 urban area,66962
99999,Not in a 2010 urban area,66960
99999,Not in a 2010 urban area,66959
99999,Not in a 2010 urban area,66958
99999,Not in a 2010 urban area,66956
99999,Not in a 2010 urban area,66955
99999,Not in a 2010 urban area,66953
99999,Not in a 2010 urban area,66952
99999,Not in a 2010 urban area,66951
99999,Not in a 2010 urban area,66949
99999,Not in a 2010 urban area,66948
99999,Not in a 2010 urban area,66946
99999,Not in a 2010 urban area,66945
99999,Not in a 2010 urban area,66944
99999,Not in a 2010 urban area,66943
99999,Not in a 2010 urban area,66942
99999,Not in a 2010 urban area,66941
99999,Not in a 2010 urban area,66940
99999,Not in a 2010 urban area,66939
99999,Not in a 2010 urban area,66938
99999,Not in a 2010 urban area,66937
99999,Not in a 2010 urban area,66936
99999,Not in a 2010 urban area,66935
99999,Not in a 2010 urban area,66933
99999,Not in a 2010 urban area,66932
99999,Not in a 2010 urban area,66930
19585,"Concordia, KS Urban Cluster",66901
99999,Not in a 2010 urban area,66901
99999,Not in a 2010 urban area,66873
99999,Not in a 2010 urban area,66872
99999,Not in a 2010 urban area,66871
99999,Not in a 2010 urban area,66870
99999,Not in a 2010 urban area,66869
99999,Not in a 2010 urban area,66868
99999,Not in a 2010 urban area,66866
99999,Not in a 2010 urban area,66865
99999,Not in a 2010 urban area,66864
99999,Not in a 2010 urban area,66863
99999,Not in a 2010 urban area,66862
99999,Not in a 2010 urban area,66861
99999,Not in a 2010 urban area,66860
99999,Not in a 2010 urban area,66859
99999,Not in a 2010 urban area,66858
99999,Not in a 2010 urban area,66857
99999,Not in a 2010 urban area,66856
99999,Not in a 2010 urban area,66854
99999,Not in a 2010 urban area,66853
99999,Not in a 2010 urban area,66852
99999,Not in a 2010 urban area,66851
99999,Not in a 2010 urban area,66850
99999,Not in a 2010 urban area,66849
99999,Not in a 2010 urban area,66846
99999,Not in a 2010 urban area,66845
99999,Not in a 2010 urban area,66843
99999,Not in a 2010 urban area,66842
99999,Not in a 2010 urban area,66840
11701,"Burlington, KS Urban Cluster",66839
99999,Not in a 2010 urban area,66839
99999,Not in a 2010 urban area,66838
99999,Not in a 2010 urban area,66835
99999,Not in a 2010 urban area,66834
99999,Not in a 2010 urban area,66833
99999,Not in a 2010 urban area,66830
27523,"Emporia, KS Urban Cluster",66801
99999,Not in a 2010 urban area,66801
99999,Not in a 2010 urban area,66783
99999,Not in a 2010 urban area,66782
99999,Not in a 2010 urban area,66781
99999,Not in a 2010 urban area,66780
99999,Not in a 2010 urban area,66779
99999,Not in a 2010 urban area,66778
99999,Not in a 2010 urban area,66777
99999,Not in a 2010 urban area,66776
99999,Not in a 2010 urban area,66775
99999,Not in a 2010 urban area,66773
99999,Not in a 2010 urban area,66772
99999,Not in a 2010 urban area,66771
5815,"Baxter Springs, KS Urban Cluster",66770
99999,Not in a 2010 urban area,66770
99999,Not in a 2010 urban area,66769
99999,Not in a 2010 urban area,66767
69643,"Pittsburg, KS Urban Cluster",66763
99999,Not in a 2010 urban area,66763
69643,"Pittsburg, KS Urban Cluster",66762
99999,Not in a 2010 urban area,66762
99999,Not in a 2010 urban area,66761
99999,Not in a 2010 urban area,66760
99999,Not in a 2010 urban area,66758
61516,"Neodesha, KS Urban Cluster",66757
99999,Not in a 2010 urban area,66757
99999,Not in a 2010 urban area,66756
99999,Not in a 2010 urban area,66755
99999,Not in a 2010 urban area,66754
99999,Not in a 2010 urban area,66753
99999,Not in a 2010 urban area,66751
41482,"Iola, KS Urban Cluster",66749
99999,Not in a 2010 urban area,66749
99999,Not in a 2010 urban area,66748
99999,Not in a 2010 urban area,66746
33355,"Girard, KS Urban Cluster",66743
99999,Not in a 2010 urban area,66743
99999,Not in a 2010 urban area,66741
99999,Not in a 2010 urban area,66740
32302,"Galena, KS--MO Urban Cluster",66739
99999,Not in a 2010 urban area,66739
99999,Not in a 2010 urban area,66738
99999,Not in a 2010 urban area,66736
99999,Not in a 2010 urban area,66735
99999,Not in a 2010 urban area,66734
99999,Not in a 2010 urban area,66733
99999,Not in a 2010 urban area,66732
99999,Not in a 2010 urban area,66728
19153,"Columbus, KS Urban Cluster",66725
99999,Not in a 2010 urban area,66725
99999,Not in a 2010 urban area,66724
15265,"Chanute, KS Urban Cluster",66720
99999,Not in a 2010 urban area,66720
99999,Not in a 2010 urban area,66717
99999,Not in a 2010 urban area,66716
99999,Not in a 2010 urban area,66714
5815,"Baxter Springs, KS Urban Cluster",66713
99999,Not in a 2010 urban area,66713
99999,Not in a 2010 urban area,66712
99999,Not in a 2010 urban area,66711
99999,Not in a 2010 urban area,66710
30898,"Fort Scott, KS Urban Cluster",66701
99999,Not in a 2010 urban area,66701
88084,"Topeka, KS Urbanized Area",66622
88084,"Topeka, KS Urbanized Area",66621
88084,"Topeka, KS Urbanized Area",66619
99999,Not in a 2010 urban area,66619
88084,"Topeka, KS Urbanized Area",66618
99999,Not in a 2010 urban area,66618
88084,"Topeka, KS Urbanized Area",66617
99999,Not in a 2010 urban area,66617
88084,"Topeka, KS Urbanized Area",66616
99999,Not in a 2010 urban area,66616
88084,"Topeka, KS Urbanized Area",66615
99999,Not in a 2010 urban area,66615
88084,"Topeka, KS Urbanized Area",66614
99999,Not in a 2010 urban area,66614
88084,"Topeka, KS Urbanized Area",66612
88084,"Topeka, KS Urbanized Area",66611
88084,"Topeka, KS Urbanized Area",66610
99999,Not in a 2010 urban area,66610
88084,"Topeka, KS Urbanized Area",66609
99999,Not in a 2010 urban area,66609
88084,"Topeka, KS Urbanized Area",66608
99999,Not in a 2010 urban area,66608
88084,"Topeka, KS Urbanized Area",66607
99999,Not in a 2010 urban area,66607
88084,"Topeka, KS Urbanized Area",66606
99999,Not in a 2010 urban area,66606
88084,"Topeka, KS Urbanized Area",66605
99999,Not in a 2010 urban area,66605
88084,"Topeka, KS Urbanized Area",66604
88084,"Topeka, KS Urbanized Area",66603
99999,Not in a 2010 urban area,66554
99999,Not in a 2010 urban area,66552
99999,Not in a 2010 urban area,66550
99999,Not in a 2010 urban area,66549
99999,Not in a 2010 urban area,66548
91648,"Wamego, KS Urban Cluster",66547
99999,Not in a 2010 urban area,66547
99999,Not in a 2010 urban area,66546
99999,Not in a 2010 urban area,66544
99999,Not in a 2010 urban area,66543
88084,"Topeka, KS Urbanized Area",66542
99999,Not in a 2010 urban area,66542
99999,Not in a 2010 urban area,66541
99999,Not in a 2010 urban area,66540
99999,Not in a 2010 urban area,66539
99999,Not in a 2010 urban area,66538
99999,Not in a 2010 urban area,66537
77841,"St. Marys, KS Urban Cluster",66536
99999,Not in a 2010 urban area,66536
99999,Not in a 2010 urban area,66535
77027,"Sabetha, KS Urban Cluster",66534
99999,Not in a 2010 urban area,66534
99999,Not in a 2010 urban area,66533
99999,Not in a 2010 urban area,66532
99999,Not in a 2010 urban area,66531
99999,Not in a 2010 urban area,66528
99999,Not in a 2010 urban area,66527
99999,Not in a 2010 urban area,66526
99999,Not in a 2010 urban area,66524
66068,"Osage City, KS Urban Cluster",66523
99999,Not in a 2010 urban area,66523
99999,Not in a 2010 urban area,66522
99999,Not in a 2010 urban area,66521
99999,Not in a 2010 urban area,66520
99999,Not in a 2010 urban area,66518
99999,Not in a 2010 urban area,66517
99999,Not in a 2010 urban area,66516
99999,Not in a 2010 urban area,66515
99999,Not in a 2010 urban area,66514
99999,Not in a 2010 urban area,66512
99999,Not in a 2010 urban area,66510
99999,Not in a 2010 urban area,66509
55279,"Marysville, KS Urban Cluster",66508
99999,Not in a 2010 urban area,66508
99999,Not in a 2010 urban area,66507
53848,"Manhattan, KS Urbanized Area",66506
53848,"Manhattan, KS Urbanized Area",66503
99999,Not in a 2010 urban area,66503
53848,"Manhattan, KS Urbanized Area",66502
99999,Not in a 2010 urban area,66502
99999,Not in a 2010 urban area,66501
99999,Not in a 2010 urban area,66451
99999,Not in a 2010 urban area,66449
43507,"Junction City, KS Urban Cluster",66442
99999,Not in a 2010 urban area,66442
43507,"Junction City, KS Urban Cluster",66441
99999,Not in a 2010 urban area,66441
99999,Not in a 2010 urban area,66440
99999,Not in a 2010 urban area,66439
99999,Not in a 2010 urban area,66438
39592,"Holton, KS Urban Cluster",66436
99999,Not in a 2010 urban area,66436
38593,"Hiawatha, KS Urban Cluster",66434
99999,Not in a 2010 urban area,66434
99999,Not in a 2010 urban area,66432
99999,Not in a 2010 urban area,66431
88084,"Topeka, KS Urbanized Area",66429
99999,Not in a 2010 urban area,66429
99999,Not in a 2010 urban area,66428
99999,Not in a 2010 urban area,66427
99999,Not in a 2010 urban area,66425
99999,Not in a 2010 urban area,66424
99999,Not in a 2010 urban area,66423
99999,Not in a 2010 urban area,66422
99999,Not in a 2010 urban area,66419
99999,Not in a 2010 urban area,66418
99999,Not in a 2010 urban area,66417
99999,Not in a 2010 urban area,66416
99999,Not in a 2010 urban area,66415
99999,Not in a 2010 urban area,66414
99999,Not in a 2010 urban area,66413
99999,Not in a 2010 urban area,66412
99999,Not in a 2010 urban area,66411
99999,Not in a 2010 urban area,66409
99999,Not in a 2010 urban area,66408
99999,Not in a 2010 urban area,66407
99999,Not in a 2010 urban area,66406
99999,Not in a 2010 urban area,66404
99999,Not in a 2010 urban area,66403
99999,Not in a 2010 urban area,66402
99999,Not in a 2010 urban area,66401
43912,"Kansas City, MO--KS Urbanized Area",66227
99999,Not in a 2010 urban area,66227
43912,"Kansas City, MO--KS Urbanized Area",66226
99999,Not in a 2010 urban area,66226
43912,"Kansas City, MO--KS Urbanized Area",66224
99999,Not in a 2010 urban area,66224
43912,"Kansas City, MO--KS Urbanized Area",66223
43912,"Kansas City, MO--KS Urbanized Area",66221
99999,Not in a 2010 urban area,66221
43912,"Kansas City, MO--KS Urbanized Area",66220
99999,Not in a 2010 urban area,66220
43912,"Kansas City, MO--KS Urbanized Area",66219
99999,Not in a 2010 urban area,66219
43912,"Kansas City, MO--KS Urbanized Area",66218
99999,Not in a 2010 urban area,66218
43912,"Kansas City, MO--KS Urbanized Area",66217
99999,Not in a 2010 urban area,66217
43912,"Kansas City, MO--KS Urbanized Area",66216
43912,"Kansas City, MO--KS Urbanized Area",66215
43912,"Kansas City, MO--KS Urbanized Area",66214
43912,"Kansas City, MO--KS Urbanized Area",66213
43912,"Kansas City, MO--KS Urbanized Area",66212
43912,"Kansas City, MO--KS Urbanized Area",66211
43912,"Kansas City, MO--KS Urbanized Area",66210
43912,"Kansas City, MO--KS Urbanized Area",66209
43912,"Kansas City, MO--KS Urbanized Area",66208
43912,"Kansas City, MO--KS Urbanized Area",66207
43912,"Kansas City, MO--KS Urbanized Area",66206
43912,"Kansas City, MO--KS Urbanized Area",66205
43912,"Kansas City, MO--KS Urbanized Area",66204
43912,"Kansas City, MO--KS Urbanized Area",66203
43912,"Kansas City, MO--KS Urbanized Area",66202
43912,"Kansas City, MO--KS Urbanized Area",66118
43912,"Kansas City, MO--KS Urbanized Area",66115
43912,"Kansas City, MO--KS Urbanized Area",66112
99999,Not in a 2010 urban area,66112
43912,"Kansas City, MO--KS Urbanized Area",66111
99999,Not in a 2010 urban area,66111
43912,"Kansas City, MO--KS Urbanized Area",66109
99999,Not in a 2010 urban area,66109
43912,"Kansas City, MO--KS Urbanized Area",66106
99999,Not in a 2010 urban area,66106
43912,"Kansas City, MO--KS Urbanized Area",66105
43912,"Kansas City, MO--KS Urbanized Area",66104
99999,Not in a 2010 urban area,66104
43912,"Kansas City, MO--KS Urbanized Area",66103
43912,"Kansas City, MO--KS Urbanized Area",66102
99999,Not in a 2010 urban area,66102
43912,"Kansas City, MO--KS Urbanized Area",66101
99999,Not in a 2010 urban area,66097
99999,Not in a 2010 urban area,66095
99999,Not in a 2010 urban area,66094
99999,Not in a 2010 urban area,66093
99999,Not in a 2010 urban area,66092
99999,Not in a 2010 urban area,66091
77743,"St. Joseph, MO--KS Urbanized Area",66090
99999,Not in a 2010 urban area,66090
99999,Not in a 2010 urban area,66088
99999,Not in a 2010 urban area,66087
88003,"Tonganoxie, KS Urban Cluster",66086
99999,Not in a 2010 urban area,66086
43912,"Kansas City, MO--KS Urbanized Area",66085
99999,Not in a 2010 urban area,66085
84034,"Spring Hill, KS Urban Cluster",66083
99999,Not in a 2010 urban area,66083
99999,Not in a 2010 urban area,66080
99999,Not in a 2010 urban area,66079
99999,Not in a 2010 urban area,66078
99999,Not in a 2010 urban area,66076
99999,Not in a 2010 urban area,66075
99999,Not in a 2010 urban area,66073
99999,Not in a 2010 urban area,66072
67321,"Paola, KS Urban Cluster",66071
99999,Not in a 2010 urban area,66071
99999,Not in a 2010 urban area,66070
66322,"Ottawa, KS Urban Cluster",66067
99999,Not in a 2010 urban area,66067
99999,Not in a 2010 urban area,66066
66079,"Osawatomie, KS Urban Cluster",66064
99999,Not in a 2010 urban area,66064
43912,"Kansas City, MO--KS Urbanized Area",66062
99999,Not in a 2010 urban area,66062
43912,"Kansas City, MO--KS Urbanized Area",66061
99999,Not in a 2010 urban area,66061
99999,Not in a 2010 urban area,66060
99999,Not in a 2010 urban area,66058
99999,Not in a 2010 urban area,66056
99999,Not in a 2010 urban area,66054
51607,"Louisburg, KS Urban Cluster",66053
99999,Not in a 2010 urban area,66053
99999,Not in a 2010 urban area,66052
99999,Not in a 2010 urban area,66050
48232,"Lawrence, KS Urbanized Area",66049
99999,Not in a 2010 urban area,66049
48475,"Leavenworth, KS Urban Cluster",66048
99999,Not in a 2010 urban area,66048
48232,"Lawrence, KS Urbanized Area",66047
99999,Not in a 2010 urban area,66047
48232,"Lawrence, KS Urbanized Area",66046
99999,Not in a 2010 urban area,66046
48232,"Lawrence, KS Urbanized Area",66045
48232,"Lawrence, KS Urbanized Area",66044
99999,Not in a 2010 urban area,66044
48475,"Leavenworth, KS Urban Cluster",66043
99999,Not in a 2010 urban area,66043
99999,Not in a 2010 urban area,66042
99999,Not in a 2010 urban area,66041
99999,Not in a 2010 urban area,66040
99999,Not in a 2010 urban area,66039
99999,Not in a 2010 urban area,66035
99999,Not in a 2010 urban area,66033
32626,"Garnett, KS Urban Cluster",66032
99999,Not in a 2010 urban area,66032
43912,"Kansas City, MO--KS Urbanized Area",66031
43912,"Kansas City, MO--KS Urbanized Area",66030
99999,Not in a 2010 urban area,66030
48475,"Leavenworth, KS Urban Cluster",66027
99999,Not in a 2010 urban area,66027
99999,Not in a 2010 urban area,66026
28063,"Eudora, KS Urban Cluster",66025
99999,Not in a 2010 urban area,66025
77743,"St. Joseph, MO--KS Urbanized Area",66024
99999,Not in a 2010 urban area,66024
99999,Not in a 2010 urban area,66023
99999,Not in a 2010 urban area,66021
99999,Not in a 2010 urban area,66020
23770,"De Soto, KS Urban Cluster",66019
23770,"De Soto, KS Urban Cluster",66018
99999,Not in a 2010 urban area,66018
99999,Not in a 2010 urban area,66017
99999,Not in a 2010 urban area,66016
99999,Not in a 2010 urban area,66015
99999,Not in a 2010 urban area,66014
99999,Not in a 2010 urban area,66013
5423,"Basehor, KS Urban Cluster",66012
43912,"Kansas City, MO--KS Urbanized Area",66012
99999,Not in a 2010 urban area,66012
99999,Not in a 2010 urban area,66010
99999,Not in a 2010 urban area,66008
5423,"Basehor, KS Urban Cluster",66007
99999,Not in a 2010 urban area,66007
4789,"Baldwin City, KS Urban Cluster",66006
99999,Not in a 2010 urban area,66006
3601,"Atchison, KS--MO Urban Cluster",66002
99999,Not in a 2010 urban area,66002
83953,"Springfield, MO Urbanized Area",65810
99999,Not in a 2010 urban area,65810
83953,"Springfield, MO Urbanized Area",65809
99999,Not in a 2010 urban area,65809
83953,"Springfield, MO Urbanized Area",65807
99999,Not in a 2010 urban area,65807
83953,"Springfield, MO Urbanized Area",65806
83953,"Springfield, MO Urbanized Area",65804
99999,Not in a 2010 urban area,65804
83953,"Springfield, MO Urbanized Area",65803
95310,"Willard, MO Urban Cluster",65803
99999,Not in a 2010 urban area,65803
83953,"Springfield, MO Urbanized Area",65802
95310,"Willard, MO Urban Cluster",65802
99999,Not in a 2010 urban area,65802
99999,Not in a 2010 urban area,65793
87247,"Thayer, MO--AR Urban Cluster",65791
99999,Not in a 2010 urban area,65791
99999,Not in a 2010 urban area,65790
99999,Not in a 2010 urban area,65789
99999,Not in a 2010 urban area,65788
99999,Not in a 2010 urban area,65787
99999,Not in a 2010 urban area,65786
99999,Not in a 2010 urban area,65785
99999,Not in a 2010 urban area,65784
99999,Not in a 2010 urban area,65783
95310,"Willard, MO Urban Cluster",65781
99999,Not in a 2010 urban area,65781
99999,Not in a 2010 urban area,65779
99999,Not in a 2010 urban area,65778
99999,Not in a 2010 urban area,65777
94375,"West Plains, MO Urban Cluster",65775
99999,Not in a 2010 urban area,65775
99999,Not in a 2010 urban area,65774
99999,Not in a 2010 urban area,65773
99999,Not in a 2010 urban area,65772
99999,Not in a 2010 urban area,65771
99999,Not in a 2010 urban area,65770
4276,"Aurora, MO Urban Cluster",65769
99999,Not in a 2010 urban area,65769
99999,Not in a 2010 urban area,65768
99999,Not in a 2010 urban area,65767
99999,Not in a 2010 urban area,65766
99999,Not in a 2010 urban area,65764
99999,Not in a 2010 urban area,65762
99999,Not in a 2010 urban area,65761
99999,Not in a 2010 urban area,65760
99999,Not in a 2010 urban area,65759
83953,"Springfield, MO Urbanized Area",65757
99999,Not in a 2010 urban area,65757
99999,Not in a 2010 urban area,65756
99999,Not in a 2010 urban area,65755
99999,Not in a 2010 urban area,65754
99999,Not in a 2010 urban area,65753
99999,Not in a 2010 urban area,65752
99999,Not in a 2010 urban area,65747
99999,Not in a 2010 urban area,65746
99999,Not in a 2010 urban area,65745
99999,Not in a 2010 urban area,65744
76059,"Rogersville, MO Urban Cluster",65742
83953,"Springfield, MO Urbanized Area",65742
99999,Not in a 2010 urban area,65742
30520,"Forsyth, MO Urban Cluster",65740
99999,Not in a 2010 urban area,65740
99999,Not in a 2010 urban area,65739
83953,"Springfield, MO Urbanized Area",65738
99999,Not in a 2010 urban area,65738
45032,"Kimberling City, MO Urban Cluster",65737
99999,Not in a 2010 urban area,65737
99999,Not in a 2010 urban area,65735
99999,Not in a 2010 urban area,65734
99999,Not in a 2010 urban area,65733
99999,Not in a 2010 urban area,65732
99999,Not in a 2010 urban area,65731
99999,Not in a 2010 urban area,65730
99999,Not in a 2010 urban area,65729
99999,Not in a 2010 urban area,65728
99999,Not in a 2010 urban area,65727
99999,Not in a 2010 urban area,65725
99999,Not in a 2010 urban area,65724
99999,Not in a 2010 urban area,65723
99999,Not in a 2010 urban area,65722
83953,"Springfield, MO Urbanized Area",65721
99999,Not in a 2010 urban area,65721
99999,Not in a 2010 urban area,65720
99999,Not in a 2010 urban area,65717
99999,Not in a 2010 urban area,65715
83953,"Springfield, MO Urbanized Area",65714
99999,Not in a 2010 urban area,65714
99999,Not in a 2010 urban area,65713
60436,"Mount Vernon, MO Urban Cluster",65712
99999,Not in a 2010 urban area,65712
59653,"Mountain Grove, MO Urban Cluster",65711
99999,Not in a 2010 urban area,65711
99999,Not in a 2010 urban area,65710
58195,"Monett, MO Urban Cluster",65708
99999,Not in a 2010 urban area,65708
99999,Not in a 2010 urban area,65707
55117,"Marshfield, MO Urban Cluster",65706
99999,Not in a 2010 urban area,65706
99999,Not in a 2010 urban area,65705
99999,Not in a 2010 urban area,65704
99999,Not in a 2010 urban area,65702
99999,Not in a 2010 urban area,65692
99999,Not in a 2010 urban area,65690
99999,Not in a 2010 urban area,65689
45032,"Kimberling City, MO Urban Cluster",65686
99999,Not in a 2010 urban area,65686
99999,Not in a 2010 urban area,65685
99999,Not in a 2010 urban area,65682
99999,Not in a 2010 urban area,65681
99999,Not in a 2010 urban area,65680
9676,"Branson, MO Urban Cluster",65679
99999,Not in a 2010 urban area,65679
99999,Not in a 2010 urban area,65676
99999,Not in a 2010 urban area,65674
9676,"Branson, MO Urban Cluster",65672
99999,Not in a 2010 urban area,65672
99999,Not in a 2010 urban area,65669
99999,Not in a 2010 urban area,65668
99999,Not in a 2010 urban area,65667
99999,Not in a 2010 urban area,65664
99999,Not in a 2010 urban area,65663
99999,Not in a 2010 urban area,65662
99999,Not in a 2010 urban area,65661
99999,Not in a 2010 urban area,65660
99999,Not in a 2010 urban area,65658
99999,Not in a 2010 urban area,65657
99999,Not in a 2010 urban area,65656
99999,Not in a 2010 urban area,65655
99999,Not in a 2010 urban area,65654
30520,"Forsyth, MO Urban Cluster",65653
99999,Not in a 2010 urban area,65653
99999,Not in a 2010 urban area,65652
99999,Not in a 2010 urban area,65650
99999,Not in a 2010 urban area,65649
99999,Not in a 2010 urban area,65648
14536,"Cassville, MO Urban Cluster",65647
99999,Not in a 2010 urban area,65647
99999,Not in a 2010 urban area,65646
99999,Not in a 2010 urban area,65644
99999,Not in a 2010 urban area,65641
99999,Not in a 2010 urban area,65640
99999,Not in a 2010 urban area,65638
99999,Not in a 2010 urban area,65637
99999,Not in a 2010 urban area,65635
99999,Not in a 2010 urban area,65634
99999,Not in a 2010 urban area,65633
99999,Not in a 2010 urban area,65632
