Unnamed: 0,UANUM,UANAME,Population,Latitude,Longitude,4 Week Rate,4 Week TRP,CPP,CPM,AdvertisingCost,PredictedCount,ActualCount,PredictedActualDiff,PercentDiff,Households,HouseholdsPerStation,MarketSize,LatitudeAug
1371,37243,"Hartford, CT",924859,41.7636111,-72.6855556,32336.33333,533.3333333,65.86666667,6.266666667,5795.783067,64.52,65,-0.48,-0.007272727,361246,5598.977061,Medium,41.76936822
2664,72505,"Providence, RI--MA",1190956,41.8238889,-71.4133333,19200,500,42.25,3.25,3870.607,64.32,71,-6.68,-0.092777778,465355,7234.996891,Large,41.83032446
1515,41212,"Indianapolis, IN",1487483,39.7683333,-86.1580556,45229,360,133.4,5.8,8627.4014,63.58,63,0.58,0.0090625,577679,9085.860333,Large,39.77392514
2116,57466,"Milwaukee, WI",1376476,43.0388889,-87.9063889,37083.0625,156.25,60.8125,3.4378125,4732.066399,62.74,42,20.74,0.482325581,550178,8769.17437,Large,43.0484227
1678,45640,"Knoxville, TN",558696,35.9605556,-83.9208333,14222.5,533.3333333,28.66666667,2.333333333,1303.624,61.98,78,-16.02,-0.20278481,233715,3770.813166,Medium,35.96332327
571,15670,"Charlotte, NC--SC",1249442,35.2269444,-80.8433333,1053.846154,476.9230769,2.538461539,4.615384615,5766.655385,61.66,59,2.66,0.044333333,483928,7848.329549,Large,35.22813911
700,19234,"Columbus, OH",1368035,39.9611111,-82.9988889,42830.25,156.25,70.1875,3.75125,5131.841294,58.26,35,23.26,0.646111111,542626,9313.868864,Large,39.96515004
637,17668,"Cleveland, OH",1780673,41.4994444,-81.6955556,110788.5625,156.25,182.25,6.158125,10965.60692,57.7,23,34.7,1.445833333,733600,12714.03813,Large,41.49997646
610,16885,"Cincinnati, OH--KY--IN",1624827,39.1619444,-84.4569444,34800,500,72,3.75,6093.10125,54,32,22,0.666666667,634071,11742.05556,Large,39.17053173
1551,42346,"Jacksonville, FL",1065219,30.3319444,-81.6558333,20450,300,70.5,5.5,5858.7045,52.26,21,31.26,1.420909091,403810,7726.942212,Large,30.33576427
2837,78499,"Salt Lake City--West Valley City, UT",1021243,40.6916667,-112.0002778,8966.666667,266.6666667,34.66666667,6.666666667,6808.286667,48.46,46,2.46,0.052340426,341144,7039.702848,Large,40.69589899
2735,74746,"Richmond, VA",953556,37.5536111,-77.4605556,20033.75,500,41.25,4.083333333,3893.687,48.2,41,7.2,0.171428571,367580,7626.141079,Medium,37.55872063
3282,89770,"Urban Honolulu, HI",802459,21.3069444,-157.8583333,114990.5769,149.0384615,193.8846154,3.433461539,2755.212113,47.14,121,-73.86,-0.605409836,264713,5615.464574,Medium,21.31331141
27,970,"Albany--Schenectady, NY",594962,42.8141667,-73.94,21228.88889,555.5555556,41.88888889,5.444444444,3239.237556,47.04,55,-7.96,-0.142142857,237315,5044.961735,Medium,42.82117413
2260,61273,"Nashville-Davidson, TN",969587,36.2775,-85.105,1860,840,2.6,3.6,3490.5132,45,130,-85,-0.648854962,382698,8504.4,Medium,36.28346962
709,19504,"Concord, CA",615968,37.9780556,-122.03,114990.5769,149.0384615,193.8846154,3.433461539,2114.902437,43.52,97,-53.48,-0.545714286,233083,5355.767463,Medium,37.97919555
2292,62407,"New Haven, CT",562839,41.3080556,-72.9286111,11742.5,200,59,8.25,4643.42175,41.74,40,1.74,0.042439024,215905,5172.616196,Medium,41.31616547
416,11350,"Buffalo, NY",935906,42.8863889,-78.8786111,43041.58333,500,89.75,6.75,6317.3655,41.7,38,3.7,0.094871795,392314,9408.009592,Medium,42.89601704
3244,88732,"Tucson, AZ",843168,32.2216667,-110.9258333,23490.7619,142.8571429,40.57142857,4.450476191,3752.499109,40.88,56,-15.12,-0.265263158,331834,8117.270059,Medium,32.22216551
