"UANUM","UANAME","Population","Latitude","Longitude","4 Week Rate","4 Week TRP","CPP","CPM"
75610,"Rochester, IN",7309,41.0647222,-86.2158333,1316.6666666667,400.0,3.6666666667000003,6.666666666699999
75637,"Rochester, MN",107677,44.021666700000004,-92.4697222,1702.8571428572,600.0,3.1428571429,7.4285714286
75664,"Rochester, NY",720572,43.1547222,-77.61583329999999,35908.3333333333,733.3333333333001,51.0,5.833333333300001
75745,"Rock Hill, SC",104996,34.9247222,-81.0252778,1053.8461538462,476.9230769231,2.5384615385,4.6153846154
75880,"Rock Springs, WY",26352,41.5875,-109.20222220000001,950.0,200.0,4.5,9.5
75907,"Rock Valley, IA",3052,43.2052778,-96.29472220000001,8481.6666666667,800.0,14.5555555556,6.2222222222
75691,"Rockdale, TX",5459,30.6552778,-97.00111109999999,5600.0,342.8571428571,18.571428571400002,7.5714285714
75718,"Rockford, IL",296863,42.271111100000006,-89.09388890000001,8437.5,575.0,17.125,6.125
75732,"Rockford, MN",4618,45.088333299999995,-93.7341667,94235.5,156.25,158.125,4.489375
75772,"Rockingham--Hamlet, NC",25404,34.8847222,-79.6944444,1350.0,300.0,5.0,7.0
75799,"Rockland, ME",8775,44.1036111,-69.1094444,266514.0,156.25,441.0625,8.63125
75826,"Rockmart, GA",7646,34.0025,-85.04166670000001,1687.5,733.3333333333001,2.8333333332999997,6.666666666699999
75853,"Rockport, TX",16322,28.0202778,-97.0541667,10655.5384615385,846.1538461538,13.3846153846,3.8461538462
75934,"Rockville, IN",4339,39.7625,-87.22916670000001,5322.5,540.0,11.3,3.3
75961,"Rocky Ford, CO",4161,38.0525,-103.7197222,3698.3333333333003,466.6666666667,8.5833333333,5.25
75988,"Rocky Mount, NC",68243,35.938055600000006,-77.7908333,5378.25,750.0,7.375,5.625
76015,"Rocky Mount, VA",6048,36.9975,-79.8922222,8490.277777777801,744.4444444444,12.6111111111,4.5555555556
76042,"Rogers City, MI",2560,45.4213889,-83.81833329999999,4540.0,500.0,9.3333333333,9.3333333333
76059,"Rogersville, MO",2878,37.1146,-93.0587,19730.769230769198,800.0,28.0769230769,3.0769230769
76069,"Rogersville, TN",6444,36.4072222,-83.0055556,1298.1428571428999,342.8571428571,4.0,5.4285714286
76123,"Rolla, MO",20160,37.9513889,-91.77111109999998,2653.8461538461997,676.9230769231,4.3846153846,8.8461538462
76177,"Romancoke, MD",3538,38.881111100000005,-76.3366667,122361.3125,156.25,205.6875,8.914375
76204,"Rome, GA",60851,34.256944399999995,-85.1647222,2835.5263157895,884.2105263158,3.7368421052999996,3.9473684211
76231,"Rome, NY",33428,43.2127778,-75.45611109999999,2875.0,600.0,5.5,10.5
76258,"Roosevelt, UT",5915,40.2994444,-109.98805559999998,683.3333333333001,200.0,3.3333333332999997,17.6666666667
76285,"Rosamond, CA",16000,34.8641667,-118.1625,255338.125,156.25,417.2083333333,3.0004166667
76366,"Rose Hill, KS",3650,37.5583333,-97.13472220000001,20320.6875,156.25,33.5,3.68875
76312,"Roseau, MN",2763,48.8461111,-95.7625,1761.25,300.0,6.0,13.0
76339,"Roseburg, OR",41700,43.216666700000005,-123.34055559999999,600.0,200.0,3.0,4.0
76447,"Roswell, NM",49727,33.3941667,-104.5225,1700.0,500.0,3.5,6.5
76474,"Round Lake Beach--McHenry--Grayslake, IL--WI",290373,43.784440000000004,-88.787868,153087.5,500.0,315.375,4.25
76501,"Roxboro, NC",9660,36.3936111,-78.9830556,2750.0,600.0,5.0,6.0
76528,"Roxborough Park, CO",8503,39.4738889,-105.0847222,13625.0,528.5714285714,25.785714285700003,4.7857142857
76582,"Royston, GA",3002,34.286944399999996,-83.11027779999999,1000.0,200.0,5.0,4.0
76595,"Ruckersville, VA",5785,38.23305560000001,-78.3694444,8100.0,360.0,24.6,13.2
76609,"Rugby, ND",2824,48.368888899999995,-99.9958333,3082.5,1000.0,3.0,8.5
76636,"Ruidoso, NM",9596,33.3316667,-105.6725,3333.3333333333003,766.6666666666999,5.666666666699999,9.3333333333
76663,"Ruleville, MS",2998,33.7258333,-90.5513889,1603.6666666667002,366.6666666667,5.0,11.666666666700001
76690,"Rumford, ME",4987,44.553611100000005,-70.5513889,2300.0,200.0,12.0,4.0
76717,"Running Springs, CA",4811,34.2077778,-117.10833329999998,29980.0,560.0,79.2,2.2
76744,"Rupert, ID",6346,42.6191667,-113.67638889999999,630.0,300.0,2.0,5.0
76759,"Rush City, MN",2883,45.6855556,-92.9652778,22930.0,200.0,114.6666666667,4.6666666667
76771,"Rushville, IL",3196,40.1211111,-90.5630556,2187.5,300.0,7.25,25.5
76798,"Rushville, IN",6738,39.6091667,-85.4463889,1434.2857142857001,457.1428571429,3.4285714286,11.7142857143
76825,"Rusk, TX",4691,31.795833299999998,-95.15,1389.2857142857001,771.4285714286,2.2857142857,3.8571428571
76852,"Russell, KS",4108,38.8952778,-98.8594444,2013.25,1000.0,2.25,6.0
76879,"Russells Point, OH",6523,40.4711111,-83.89277779999999,1770.0,440.0,4.8,9.6
76906,"Russellville, AL",9866,34.5077778,-87.7286111,1850.0,433.3333333333,4.6666666667,4.5
