0,1,19824,7529,64.12538186,202,113,3.7,2.2,11.4,25640
0,1,5243,2011,60.56688215,35,0,0,4.5,11.4,21977
0,2,3966,1445,65.19031142,30,13,0.7,2.4,8,28286
12,7,213751,79703,78.46379685,6944,5441,12.1,12.8,33.2,49021
0,0,4666,1795,64.06685237,37,16,6.2,6.4,15.1,22923
2,0,25977,11289,63.9206307,175,237,7.1,7.1,26.7,34270
0,2,29856,11188,60.63639614,183,101,2.7,4.1,13.9,30443
0,3,2785,1170,73.16239316,15,5,16.6,7.1,15,29288
0,0,7054,2851,68.74780779,54,53,8.2,7.4,18.9,33092
2,3,110421,41368,56.99816283,1128,739,9.5,7.8,23.9,29744
0,3,3389,1322,72.01210287,0,0,22.5,2,10.1,32373
0,0,5945,1739,48.18861415,54,0,4.4,14.2,25,27156
0,0,17400,7122,50.61780399,126,111,5.5,13.9,32,29425
0,2,2542,1055,70.14218009,20,11,0,10.3,18.4,33414
0,5,6986,2425,58.39175258,21,26,0,4.5,12.9,25114
0,0,3170,1435,70.24390244,78,33,11.4,7,28.9,37308
0,0,11122,3629,61.2841003,29,14,7,2.9,18.3,17249
0,5,44823,16666,68.84675387,223,128,4.1,7.2,20.3,28673
0,0,306196,97811,68.9687254,168,200,7,4.2,18.8,14977
0,1,4951,1884,42.62208068,33,34,4.4,6.2,16.9,26332
0,3,5512,205,0,0,0,0,7.5,21.3,45833
0,6,3076,1429,65.5703289,0,10,12,7,15.1,19494
0,2,2982,1217,58.83319638,61,8,6.2,14.7,26.3,36834
18,0,569499,230922,64.66339283,6632,5401,9.9,9,26.5,33535
0,3,4114,1606,54.98132005,0,0,4.9,8,19.3,31755
0,0,31862,12768,61.23903509,248,279,2.9,6,16.7,27506
0,3,9751,3837,50.89913995,74,92,2.1,15.6,27.2,27112
55,2,594962,237315,59.94437773,14257,9683,15,16.4,35.9,41547
2,5,95779,35813,46.43565186,639,633,3.9,7.9,18.4,26650
0,3,2564,1083,73.13019391,15,6,6.9,4.4,15.4,37039
4,2,56997,21651,61.40593968,352,254,3.7,7,22.3,29050
0,1,16823,6862,57.76741475,72,76,4.1,5.7,18.3,30155
2,3,17868,7864,71.73194303,170,115,1.4,4.4,14.3,28825
2,2,36815,12644,58.00379627,250,137,2.9,4.7,13.9,23148
0,0,3573,1401,63.66880799,13,12,14.7,6,18.7,33304
1,5,9219,3412,54.80656506,4,0,4.5,8.4,17.9,22993
0,2,8171,2404,55.15806988,0,38,0,1.6,9.2,22877
0,2,4574,934,66.27408994,6,6,3.3,2.9,7.2,26371
15,0,741318,293235,64.46672464,12457,9770,6.9,13.7,31.4,34285
0,0,2632,592,58.27702703,7,2,7.9,4.7,12.5,16078
0,3,3655,1555,62.1221865,7,16,12.3,5.5,15.2,30160
0,3,4854,1532,85.18276762,179,189,1.6,16.6,46.6,56250
0,2,9400,3725,45.18120805,49,9,1.3,3.9,11.5,23944
2,1,82804,28852,56.32538472,688,538,4.1,6.8,19.6,26395
0,3,16983,7873,65.75638257,177,208,5.5,8.8,28.2,30897
0,2,4322,494,29.95951417,11,8,3.2,42.7,71.7,22888
0,2,3070,1327,69.55538809,9,0,0,4.4,10.5,31102
0,0,5340,2480,75.52419355,27,16,16.7,6.5,22.8,30071
0,3,20974,7241,65.35008977,217,113,4.7,4.7,11.5,28882
0,5,6322,2565,64.4834308,70,12,0,5.2,14.4,27588
0,1,3307,1105,55.74660633,0,0,0,3.6,19.1,19117
8,2,664651,251873,68.31141091,12442,9442,9.9,10.2,26.8,36908
0,1,8486,3723,60.56943325,56,21,12,4.5,17.9,32016
0,0,32533,12948,56.90454124,167,61,4.1,3.9,12.7,25210
1,5,16924,5156,64.29402638,52,35,1.5,6.3,15.3,24594
0,5,3408,1177,43.67034834,36,0,0,7.9,18.1,25682
0,5,2719,1043,80.72866731,20,13,3.4,6.1,15,31490
0,5,14258,6346,69.76047904,112,56,2.5,9.4,18.8,25740
0,3,6013,2535,54.79289941,45,82,4,15.7,33.6,31042
0,3,4663,2083,65.57849256,35,36,24.3,5.7,19.2,35777
8,3,83890,35114,70.34516147,731,565,9.4,5.6,17.8,32836
3,2,79930,33060,69.40108893,595,658,8.5,6.2,19.2,29673
0,15,2910,1158,54.23143351,0,5,15.5,2.3,14.4,24154
0,0,19900,7794,55.32460867,203,100,4.7,6.9,18.6,28765
0,0,5620,2091,54.47154472,23,35,17.7,12.6,26.6,30875
0,3,4133,1360,58.97058824,0,9,0,0,4.9,29539
2,3,196651,73812,62.69847721,2366,1833,5.1,7.1,22.2,31517
0,0,4488,1383,64.28054953,15,0,0,1.9,10.8,27446
1,5,19106,6670,45.95202399,149,42,4.2,9.2,20.7,26319
0,2,2832,1293,62.95436968,53,13,0,10.9,20.7,28390
2,0,60438,23711,43.31323015,999,610,13.8,26.7,60.8,37496
0,1,6161,1854,63.59223301,22,31,2.3,7.7,21,23286
0,0,6566,2412,65.50580431,32,24,4.4,4.6,14.3,25942
4,2,22262,9326,56.56229895,287,109,6,5.7,16.7,31727
0,1,6170,2857,66.81834092,15,39,5.4,6.3,17.7,28081
3,2,16712,7293,67.07802002,348,274,7.9,13.9,35.5,36624
0,0,5929,1827,53.20197044,23,15,0,4.8,14,24274
0,0,5497,1808,69.96681416,8,30,0,3.7,12.3,32032
0,0,28568,10012,74.5805034,1163,916,3.1,13.2,38.3,54239
1,0,251243,90671,58.25015716,8202,6192,6.9,11,31.1,44338
